Bin,Frequency,Frequency,Frequency
-40,0,10,1
-39,0,3,1
-38,0,2,1
-37,0,3,1
-36,0,1,1
-35,0,2,0
-34,1,4,1
-33,0,5,3
-32,0,5,1
-31,0,5,1
-30,0,9,1
-29,0,15,1
-28,1,9,3
-27,1,11,4
-26,0,13,7
-25,0,11,5
-24,0,14,7
-23,1,13,9
-22,2,18,15
-21,1,23,13
-20,2,18,14
-19,2,31,16
-18,4,19,6
-17,2,27,16
-16,5,17,11
-15,4,37,16
-14,5,34,30
-13,9,30,27
-12,11,42,40
-11,10,48,41
-10,12,37,48
-9,19,43,59
-8,18,41,59
-7,11,37,68
-6,17,37,60
-5,24,32,51
-4,26,36,48
-3,21,40,48
-2,26,45,48
-1,52,44,49
0,81,36,50
1,100,26,38
2,94,42,42
3,85,27,48
4,62,32,47
5,39,34,46
6,35,17,30
7,40,17,26
8,52,22,25
9,36,13,23
10,34,16,17
11,39,10,14
12,19,16,5
13,13,9,5
14,18,7,3
15,10,10,4
16,6,11,4
17,13,5,6
18,10,9,2
19,10,5,4
20,11,5,4
21,3,3,2
22,4,1,2
23,1,4,0
24,2,2,0
25,2,8,0
26,1,2,2
27,0,0,2
28,1,1,0
29,1,1,0
30,0,1,1
31,1,0,0
32,1,1,0
33,0,1,0
34,0,1,0
35,0,1,0
36,0,1,0
37,0,1,1
38,0,2,1
39,0,1,0
40,0,0,1
> 40,1,4,2
